-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.3,Mar-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,3,-7.85,-9.7,31,-34.7,31,5.1,31,14.79,16.3,31,3,17.1,16.3,31,15,183.12,132.4,31,0,858.7
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.4,Apr-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,4,2.55,5.866666667,30,-6.4,30,23.5,30,25.21,10.8,30,4,14.93,3.2,30,0,227.71,219.5,30,0,364
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.5,May-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,5,10.1,8.590322581,31,-4.3,31,27,31,43.31,88.6,31,11,2.93,5.1,31,0,269.39,224.8,31,2.5,294.2
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.6,Jun-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,6,15.16,15.38666667,30,3.8,30,30.7,30,74.4,84.5,30,9,0.09,0,30,0,273.94,284.1,30,7.1,85.5
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.7,Jul-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,7,17.55,18.17096774,31,4.7,31,33.3,31,82.7,47.3,31,8,,0,31,0,306.96,391.3,31,36.6,31.3
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.8,Aug-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,8,16.75,19.00967742,31,1.6,31,33.6,31,57.22,48.8,31,6,,0,31,0,286.12,317.1,31,71.3,40
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.9,Sep-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,9,10.64,7.98,30,-5.3,30,28.2,30,40.81,78.9,30,9,1.38,10,30,0,184.57,140.5,30,0,300.6
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.10,Oct-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,10,2.72,1.970967742,31,-18.6,31,25.2,31,27.72,49,31,6,14.89,43,31,10,134.89,131.4,31,0,496.9
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.11,Nov-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,11,-7.78,-11.1,30,-28.1,30,3.5,30,16.14,25.8,30,8,19.28,33.5,30,29,87.66,69.8,30,0,873
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1984.12,Dec-84,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1984,12,-15.98,-21.08387097,31,-37.1,31,7,31,18.2,14.5,31,5,24.73,21.9,31,42,79.83,103.2,31,0,1211.6
-104,53.33333333,53.333,-104,NIPAWIN A,4075518,3420.1985.1,Jan-85,2014-07-31 11:50,SK,SASKATCHEWAN,SASKATCHEWAN,1985,1,-18.74,-17.75806452,31,-39.1,31,6.8,31,15.19,21.4,31,6,22.25,30.8,31,45,100.2,101.3,31,0,1108.5
