year,co2
17841 BCE,193.6
17679 BCE,191.42
17618 BCE,188.95
17493 BCE,191.52
17332 BCE,191.58
17203 BCE,191.09
17044 BCE,192.71
16917 BCE,188.5
16885 BCE,188.44
16854 BCE,192.97
16797 BCE,191.27
16727 BCE,193.9
16633 BCE,188.57
16570 BCE,187.67
16537 BCE,187.09
16508 BCE,187.45
16472 BCE,188.47
16441 BCE,188.21
16410 BCE,188.73
16374 BCE,187.12
16346 BCE,189.03
16315 BCE,188.52
16282 BCE,188.88
16252 BCE,185.65
16223 BCE,189.01
16190 BCE,184.88
16161 BCE,188.59
16132 BCE,188.64
16100 BCE,187.73
16074 BCE,187.79
16042 BCE,188.96
16016 BCE,188.66
15986 BCE,188.54
15957 BCE,191.72
15931 BCE,190.26
15905 BCE,189.52
15875 BCE,191.21
15848 BCE,187.25
15820 BCE,191.7
15794 BCE,190.41
15767 BCE,189.52
15741 BCE,191.52
15715 BCE,194.38
15688 BCE,193.21
15662 BCE,195.79
15636 BCE,196.96
15611 BCE,192.62
15585 BCE,192.37
15561 BCE,191.59
15535 BCE,191.48
15511 BCE,193
15485 BCE,190.76
15460 BCE,191.89
15435 BCE,193.02
15410 BCE,190.5
15362 BCE,194.65
15338 BCE,195.88
15286 BCE,198.29
15214 BCE,198.63
15142 BCE,202.1
15045 BCE,204.32
14979 BCE,202.93
14919 BCE,205.19
14848 BCE,205.53
14784 BCE,210.25
14706 BCE,213.15
14640 BCE,208.46
14604 BCE,208.65
14560 BCE,207.95
14522 BCE,213.94
14508 BCE,217.19
14481 BCE,211.79
14461 BCE,212.95
14442 BCE,209.51
14425 BCE,211.21
14404 BCE,214.83
14387 BCE,212.43
14367 BCE,214.6
14347 BCE,212.84
14329 BCE,214.22
14311 BCE,218.56
14291 BCE,220.49
14273 BCE,223.24
14259 BCE,227.32
14237 BCE,221.49
14217 BCE,226.19
14201 BCE,224.86
14164 BCE,222.41
14133 BCE,224.24
14084 BCE,224.48
14065 BCE,222.39
14049 BCE,224.41
14045 BCE,223.72
13987 BCE,223.77
13970 BCE,223.51
13895 BCE,222.36
13818 BCE,224.86
13755 BCE,222.16
13699 BCE,222.76
13596 BCE,223.53
13513 BCE,223.27
13460 BCE,224.74
13433 BCE,225.39
13395 BCE,228.92
13371 BCE,227.64
13331 BCE,225.77
13293 BCE,228.27
13269 BCE,230.18
13231 BCE,227.84
13207 BCE,228.81
13184 BCE,229.67
13146 BCE,234.47
13123 BCE,228.99
13085 BCE,225.38
13061 BCE,228.37
13037 BCE,227.65
13026 BCE,229.79
13004 BCE,228.89
12979 BCE,228.47
12966 BCE,228.36
12954 BCE,228.72
12942 BCE,230.63
12931 BCE,227.85
12919 BCE,232.22
12908 BCE,233.17
12895 BCE,227.87
12885 BCE,228.4
12872 BCE,226.51
12861 BCE,227.58
12849 BCE,228.5
12838 BCE,227.79
12826 BCE,227.39
12813 BCE,224.64
12809 BCE,227.9
12793 BCE,231.48
12781 BCE,234.54
12768 BCE,230.53
12757 BCE,228.18
12747 BCE,228.91
12736 BCE,237.49
12725 BCE,234.34
12714 BCE,233.42
12702 BCE,234.62
12695 BCE,238.12
12680 BCE,240.1
12669 BCE,237.97
12656 BCE,237.59
12645 BCE,235.31
12636 BCE,237.97
12626 BCE,239.77
12614 BCE,239.86
12603 BCE,241.73
12592 BCE,235.83
12581 BCE,243.17
12571 BCE,241.14
12547 BCE,242.06
12514 BCE,238.61
12493 BCE,240.95
12472 BCE,242.6
12461 BCE,242.55
12425 BCE,240.33
12404 BCE,238.39
12393 BCE,242.08
12359 BCE,235.8
12349 BCE,239.04
12323 BCE,240.21
12287 BCE,236.6
12256 BCE,238.36
12230 BCE,239.36
12207 BCE,239.24
12170 BCE,236.4
12134 BCE,232.88
12110 BCE,241.27
12073 BCE,237.87
12052 BCE,235.92
11990 BCE,240.57
11922 BCE,237.95
11877 BCE,239.08
11809 BCE,241.11
11763 BCE,241.59
11695 BCE,238.55
11651 BCE,243.86
11582 BCE,235.83
11537 BCE,240.25
11468 BCE,237.83
11354 BCE,236.86
11317 BCE,240.42
11266 BCE,239.41
11223 BCE,236.91
11178 BCE,234.82
11138 BCE,241.56
11117 BCE,237.91
11094 BCE,238.86
11072 BCE,234.68
11051 BCE,239.42
11031 BCE,237.15
11010 BCE,240.71
10989 BCE,238.18
10967 BCE,238.79
10943 BCE,239.44
10924 BCE,241.24
10903 BCE,239.35
10880 BCE,242.15
10859 BCE,242.23
10836 BCE,241.5
10813 BCE,240.02
10790 BCE,247.3
10770 BCE,241.59
10747 BCE,244.24
10724 BCE,242.53
10704 BCE,243.95
10680 BCE,246.94
10658 BCE,248.09
10637 BCE,247.02
10615 BCE,244.27
10594 BCE,249.92
10571 BCE,246.74
10546 BCE,244.42
10525 BCE,246.18
10505 BCE,245.83
10482 BCE,247.67
10459 BCE,246.4
10438 BCE,243
10415 BCE,244.31
10393 BCE,246.97
10371 BCE,250.73
10351 BCE,248.92
10331 BCE,249.38
10306 BCE,248.95
10283 BCE,249.23
10261 BCE,249.65
10240 BCE,250.97
10218 BCE,251.42
10196 BCE,251.14
10175 BCE,253.02
10155 BCE,255.66
10130 BCE,251.03
10109 BCE,253.1
10087 BCE,248.41
10066 BCE,247.85
10041 BCE,255.39
10020 BCE,253.99
9998 BCE,248.92
9977 BCE,258.57
9955 BCE,255.9
9933 BCE,251.56
9913 BCE,253.63
9893 BCE,254.31
9871 BCE,257.17
9853 BCE,258.53
9831 BCE,258.25
9809 BCE,258.74
9791 BCE,255.89
9770 BCE,256.04
9751 BCE,253.99
9733 BCE,254.62
9715 BCE,247.55
9698 BCE,257.13
9679 BCE,266.22
9661 BCE,261.3
9642 BCE,260.7
9626 BCE,267.09
9610 BCE,262.74
9594 BCE,266.9
9574 BCE,269.51
9557 BCE,267.66
9540 BCE,267.17
9523 BCE,269.1
9503 BCE,268.87
9486 BCE,270.14
9467 BCE,264.48
9450 BCE,268.16
9433 BCE,264.84
9389 BCE,264.81
9367 BCE,264.1
9307 BCE,264.4
9251 BCE,265.3
9236 BCE,265
9211 BCE,264.8
9140 BCE,264.8
9004 BCE,267.6
8886 BCE,265.1
8852 BCE,266
8730 BCE,266.9
8556 BCE,267.5
8417 BCE,264.9
8350 BCE,265.7
8243 BCE,263.4
8185 BCE,264
8043 BCE,264.2
7951 BCE,264.4
7623 BCE,263.8
7606 BCE,263
7574 BCE,260.9
7568 BCE,260.6
7487 BCE,265.2
7411 BCE,263.8
7345 BCE,263.7
7193 BCE,262
7110 BCE,259.3
7043 BCE,260.4
6962 BCE,260.9
6831 BCE,259
6761 BCE,261.8
6597 BCE,260.7
6510 BCE,261.3
6402 BCE,258.3
6245 BCE,259.3
6166 BCE,259.6
6026 BCE,260.8
5976 BCE,259.2
5910 BCE,259.7
5770 BCE,260.4
5711 BCE,260.1
5548 BCE,258.4
5455 BCE,260.7
5324 BCE,263
5238 BCE,262.3
5088 BCE,257.6
5020 BCE,258.1
4930 BCE,262.9
4820 BCE,262.1
4733 BCE,259.4
4622 BCE,261.1
4451 BCE,261.2
4387 BCE,262.7
4352 BCE,263.2
4140 BCE,265.5
4049 BCE,266.7
3984 BCE,260.7
3902 BCE,265.5
3808 BCE,265.9
3631 BCE,267.6
3583 BCE,265.2
3408 BCE,265.3
3361 BCE,267.6
3269 BCE,269.8
3137 BCE,268.6
3032 BCE,269.3
2971 BCE,270.7
2823 BCE,271.5
2697 BCE,269.8
2643 BCE,269.1
2544 BCE,271.1
2393 BCE,271.5
2325 BCE,272.8
2256 BCE,271.6
2159 BCE,271.7
2019 BCE,274.9
1906 BCE,275.4
1857 BCE,271.5
1743 BCE,273
1694 BCE,273.4
1578 BCE,275
1481 BCE,274
1334 BCE,273.1
1306 BCE,276.3
1107 BCE,274.6
999 BCE,276.3
955 BCE,274.7
852 BCE,275.3
758 BCE,278.9
678 BCE,273.9
576 BCE,277.9
464 BCE,277.6
316 BCE,276.7
284 BCE,276.7
143 BCE,276.9
50 BCE,278
1,276.7
30,277.9
56,277.4
104,277.5
136,278.1
154,278.07
175,277.56
241,280.25
266,278.31
274,280.24
296,280.91
318,281.69
357,277.8
384,277.25
406,279.13
437,280
488,277.11
518,276.79
552,276.56
557,278.46
582,276.2
615,277.87
637,279.59
669,278.45
701,277.1
730,279.99
762,279.29
793,279.72
822,278.62
875,279.42
914,280.11
958,277.41
983,278.74
1018,279.8
1019,280.06
1040,280.92
1049,280.97
1070,282.84
1099,283.09
1116,282.84
1146,284.51
1166,283.97
1200,284.54
1211,283.69
1251,282.41
1260,282.2
1278,278.43
1307,281.58
1330,284.07
1349,278.36
1390,280.91
1411,279.7
1429,279.73
1449,282.23
1469,280.31
1502,283.12
1530,283.95
1550,283.53
1560,281.83
1573,282.57
1588,281.11
1591,279.36
1603,275.07
1609,271.11
1629,273.78
1640,276.69
1649,278.02
1682,276.66
1690,276.32
1694,277.36
1723,277.64
1734,278.31
1741,276.81
1749,277.6
1752,277.23
1763,277.16
1764,276.4
1773,277.86
1779,280.24
1780,273.07
1794,281.62
1796,281.35
1799,282.8
1814,284.43
1825,281.36
1827,285.91
1833,284.45
1837,284.15
1841,283.65
1843,281.58
1844,283.53
1845,283.18
1846,283.62
1847,286.84
1850,284
1851,287.13
1854,288.05
1855,285.57
1857,283.16
1859,286.63
1862,287.17
1863,285.35
1864,286.65
1867,285.05
1868,288.76
1870,287.16
1873,286.66
1874,291.56
1877,289.33
1880,287.77
1883,292.46
1884,289.49
1886,288.12
1887,294.34
1889,292.34
1890,290.92
1892,295.17
1893,295.09
1894,293.49
1899,296.16
1900,294.22
1902,295.61
1904,295.99
1905,299.02
1906,298.48
1909,301.5
1910,297.87
1911,298.36
1913,301.3
1914,300.7
1916,301.92
1918,303.85
1919,304.61
1920,301.88
1923,304.69
1925,304.84
1928,306.84
1929,305.62
1931,305.74
1932,308.26
1933,307.11
1934,308.35
1935,306.32
1936,308.3
1937,307.41
1938,311.07
1939,310.83
1940,310.38
1941,309.77
1942,312.37
1944,312.36
1945,310.94
1946,312.26
1947,311.61
1948,311.57
1949,309.69
1950,312.83
1952,312.18
1954,312.73
1955,314.71
1956,315.34
1957,315.34
1958,315.34
1959,315.97
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.38
1967,322.16
1968,323.04
1969,324.62
1970,325.68
1971,326.32
1972,327.45
1973,329.68
1974,330.18
1975,331.11
1976,332.04
1977,333.83
1978,335.4
1979,336.84
1980,338.75
1981,340.11
1982,341.45
1983,343.05
1984,344.65
1985,346.12
1986,347.42
1987,349.19
1988,351.57
1989,353.12
1990,354.39
1991,355.61
1992,356.45
1993,357.1
1994,358.83
1995,360.82
1996,362.61
1997,363.73
1998,366.7
1999,368.38
2000,369.55
2001,371.14
2002,373.28
2003,375.8
2004,377.52
2005,379.8
2006,381.9
2007,383.79
2008,385.6
2009,387.43
2010,389.9
2011,391.65
2012,393.85
2013,396.52
2014,398.65
2015,400.83
2016,404.24
2017,406.55
2018,408.52
