year,co2
627190 BCE,199.52
625880 BCE,205.76
625019 BCE,215.71
624097 BCE,228.51
623448 BCE,235.02
622547 BCE,237.93
621105 BCE,239.19
621001 BCE,243.89
619701 BCE,243.53
618334 BCE,245.89
617004 BCE,248.29
615660 BCE,252.64
614407 BCE,252.73
614349 BCE,252.9
613191 BCE,252.75
611993 BCE,256.19
610812 BCE,258.14
609651 BCE,259.68
609601 BCE,257.82
608480 BCE,257.74
607297 BCE,259.22
606029 BCE,254.58
604676 BCE,248.48
603353 BCE,244.53
601999 BCE,239.14
600651 BCE,237.86
599305 BCE,232.45
597865 BCE,229.38
597268 BCE,225.97
596380 BCE,219.02
595854 BCE,216.27
594841 BCE,216.44
594272 BCE,221.22
593486 BCE,232.92
592914 BCE,237.98
592097 BCE,238.15
591611 BCE,233.16
590836 BCE,229.39
590433 BCE,225.68
589069 BCE,237.38
588539 BCE,243.56
588090 BCE,248.1
587475 BCE,250.2
586991 BCE,246.35
586329 BCE,238.78
585939 BCE,234.4
585222 BCE,225.99
584771 BCE,223.96
582009 BCE,210.64
581624 BCE,206.68
580886 BCE,209.88
580505 BCE,215.45
579978 BCE,219.41
579597 BCE,225.21
579169 BCE,230.26
578864 BCE,236.17
578452 BCE,243.81
578261 BCE,244.14
577883 BCE,251.47
577331 BCE,252.92
576792 BCE,249.06
576246 BCE,251.08
575704 BCE,251.34
575165 BCE,251.3
574649 BCE,252.9
574163 BCE,252.54
573705 BCE,248.86
573284 BCE,252.08
572856 BCE,251.86
572415 BCE,251.77
571963 BCE,248.72
571526 BCE,249.19
571104 BCE,247.66
570720 BCE,246.31
570366 BCE,250.3
570025 BCE,251.6
569683 BCE,249.6
569311 BCE,251.8
568912 BCE,251.8
568513 BCE,251.3
568117 BCE,250
567734 BCE,251.3
567365 BCE,250.2
566980 BCE,253
566584 BCE,252.8
566254 BCE,253.9
565935 BCE,253.2
565599 BCE,254.5
565289 BCE,253.9
564968 BCE,254.3
564639 BCE,253.7
564295 BCE,251.4
563946 BCE,252.6
563589 BCE,252.4
563184 BCE,251.4
562774 BCE,247.6
562361 BCE,245.8
561978 BCE,245.7
561586 BCE,242.3
561185 BCE,240.1
560706 BCE,234.1
560360 BCE,234.6
559938 BCE,231.9
559501 BCE,231.6
559016 BCE,228.3
558487 BCE,230.3
557923 BCE,230.2
557687 BCE,229.7
557366 BCE,234.5
556828 BCE,238.1
556356 BCE,240.4
556205 BCE,245.6
555888 BCE,250.5
555707 BCE,244
555435 BCE,249.1
555249 BCE,243
554973 BCE,241
554457 BCE,233.9
553892 BCE,226.7
553208 BCE,224.3
552530 BCE,223.6
551859 BCE,220.3
551669 BCE,222.1
551296 BCE,226.3
551071 BCE,222.3
550732 BCE,221.7
550161 BCE,219.9
549431 BCE,215.2
548633 BCE,213.6
548281 BCE,208.8
547770 BCE,202.5
546821 BCE,204.6
545857 BCE,209.7
544880 BCE,209.6
543915 BCE,210.3
542936 BCE,208.1
541895 BCE,203.6
540790 BCE,205
539704 BCE,211.2
538634 BCE,212.9
537564 BCE,206.4
536491 BCE,205
535384 BCE,199.4
534228 BCE,199.8
533745 BCE,190.5
533094 BCE,193.8
532718 BCE,195.1
531982 BCE,200
531604 BCE,204.4
531038 BCE,211.4
530643 BCE,214.5
530129 BCE,220.7
529251 BCE,220.3
528341 BCE,221.2
527453 BCE,222.7
526567 BCE,224.7
525749 BCE,227.8
524946 BCE,230.3
524157 BCE,233.7
523387 BCE,235.8
522621 BCE,236.8
521852 BCE,241.9
519624 BCE,243.5
518872 BCE,245.5
518123 BCE,247.7
517379 BCE,245.3
516650 BCE,245.5
515926 BCE,246.2
515205 BCE,247.2
514471 BCE,243
513701 BCE,241.5
512898 BCE,239.2
512083 BCE,238.2
511255 BCE,242
510414 BCE,235.2
509562 BCE,236.4
508702 BCE,233.4
507835 BCE,240.3
506991 BCE,237
506168 BCE,238.2
505362 BCE,236
504534 BCE,235.5
503734 BCE,233.9
502962 BCE,234.1
502227 BCE,232.2
501469 BCE,232
500688 BCE,231.2
499911 BCE,230.8
499134 BCE,228.2
498355 BCE,230.8
497577 BCE,230.6
496787 BCE,232.8
496016 BCE,236.5
495238 BCE,236.4
494494 BCE,237.6
493776 BCE,238.5
493074 BCE,238.3
492350 BCE,239.1
491643 BCE,239.7
490914 BCE,243.7
490205 BCE,246.7
489501 BCE,243.3
488784 BCE,242.6
488545 BCE,249.3
488076 BCE,252.8
487770 BCE,240.9
487352 BCE,242
486615 BCE,237.1
485898 BCE,231.3
485179 BCE,232.9
484449 BCE,233
483718 BCE,231.2
482986 BCE,231.4
482230 BCE,231.4
481445 BCE,227.3
480631 BCE,223.4
479713 BCE,223.8
478777 BCE,218.8
478378 BCE,220.8
477826 BCE,231.3
477453 BCE,236.5
476942 BCE,239.1
475991 BCE,236.6
475000 BCE,232.8
473975 BCE,233.1
473024 BCE,241.2
472142 BCE,245.6
471851 BCE,243.9
471268 BCE,243.7
470913 BCE,232.7
470313 BCE,229.2
469875 BCE,218.7
469251 BCE,215.5
468776 BCE,206.5
468090 BCE,205.5
466928 BCE,203.4
465757 BCE,204.4
464682 BCE,208.1
463652 BCE,210
463315 BCE,205.2
462649 BCE,199.9
461577 BCE,194.4
460464 BCE,190.7
459336 BCE,195.5
458302 BCE,202.4
457262 BCE,208.3
456844 BCE,203.3
456258 BCE,204.3
455795 BCE,199.1
455164 BCE,192.5
454052 BCE,193.3
452914 BCE,198.4
451826 BCE,201.9
450786 BCE,204.9
449797 BCE,201.2
448693 BCE,201.7
447621 BCE,208.1
446509 BCE,203.5
445269 BCE,201.1
443382 BCE,199.1
441895 BCE,202
440281 BCE,201.3
438710 BCE,201.7
437113 BCE,200.3
435535 BCE,207.5
433990 BCE,209.8
432429 BCE,207.6
431900 BCE,211.5
430229 BCE,227.2
429074 BCE,219.7
427228 BCE,242.5
426890 BCE,248.2
425991 BCE,252.1
425205 BCE,255.3
424672 BCE,265.4
424287 BCE,270
423791 BCE,270.8
423182 BCE,268.3
422558 BCE,267.7
421275 BCE,270.6
420583 BCE,266.4
419962 BCE,268.6
418752 BCE,273.8
418184 BCE,271.2
417626 BCE,273.7
416555 BCE,274.6
416007 BCE,271.8
415490 BCE,273.4
414475 BCE,271.7
413996 BCE,276.4
413230 BCE,271.6
412261 BCE,264.9
411309 BCE,274.9
409398 BCE,283.5
408504 BCE,282.6
407648 BCE,274.7
406869 BCE,284.5
405332 BCE,285.6
404593 BCE,279.6
403113 BCE,280.5
402363 BCE,276.5
400910 BCE,275.7
400191 BCE,283.1
398760 BCE,283.2
397976 BCE,277.1
396325 BCE,276.3
392956 BCE,260.7
392054 BCE,273.6
391027 BCE,259.5
390337 BCE,258.1
387460 BCE,245.8
385875 BCE,246.8
384334 BCE,239.1
382607 BCE,240
380981 BCE,227
376810 BCE,229.6
375085 BCE,224.6
373255 BCE,214.7
371508 BCE,199.9
369436 BCE,201.9
366116 BCE,206.3
363240 BCE,201.2
360618 BCE,185.8
358734 BCE,186.1
357060 BCE,193
353868 BCE,209.2
352463 BCE,209.4
351225 BCE,216.2
349726 BCE,221.1
347189 BCE,220.3
345595 BCE,211.9
344371 BCE,204.8
343051 BCE,205.2
341974 BCE,200.7
340842 BCE,250.1
338785 BCE,234.2
338034 BCE,239.6
337041 BCE,241.9
336264 BCE,255.7
335567 BCE,270.5
334918 BCE,278.6
334428 BCE,285.8
333758 BCE,278.1
333152 BCE,298.6
332594 BCE,288.4
332399 BCE,289.1
332048 BCE,282.4
331550 BCE,273.1
330849 BCE,272.6
330194 BCE,271.7
329344 BCE,265
328103 BCE,275.1
327464 BCE,271.9
326821 BCE,270.1
326137 BCE,266.1
325486 BCE,264
324641 BCE,266.2
323873 BCE,260.5
323057 BCE,260.3
322217 BCE,260.4
321433 BCE,257.2
319867 BCE,249.2
318966 BCE,255.8
317880 BCE,233.4
316903 BCE,245.2
315983 BCE,251.6
315200 BCE,272.6
314501 BCE,246.8
313708 BCE,257.1
312886 BCE,256.7
312102 BCE,251.6
311393 BCE,241.9
310643 BCE,239
309720 BCE,237.8
308826 BCE,233.2
308061 BCE,226.2
307474 BCE,227.8
306376 BCE,225.8
305513 BCE,244.8
304631 BCE,248.6
303828 BCE,250.2
303150 BCE,240.7
302151 BCE,240.2
301166 BCE,236
300134 BCE,239
299076 BCE,236.1
298166 BCE,231
297426 BCE,224.4
296755 BCE,217.1
294879 BCE,213.1
293414 BCE,212.7
292505 BCE,206.7
291701 BCE,206
290868 BCE,207.6
289613 BCE,217.1
288914 BCE,220.4
288235 BCE,234.9
286336 BCE,231
285870 BCE,230.4
285494 BCE,231.4
284660 BCE,226.4
283981 BCE,228
282485 BCE,231.3
280643 BCE,223.7
279451 BCE,215.3
278609 BCE,211
277669 BCE,204.5
276641 BCE,202.2
275493 BCE,193.2
274308 BCE,198.4
273205 BCE,194.1
272214 BCE,193.9
271216 BCE,190.4
270200 BCE,184.7
269086 BCE,198.8
267990 BCE,194.2
267046 BCE,187.2
266308 BCE,188.7
265057 BCE,211.7
264184 BCE,199.9
262634 BCE,228.1
260867 BCE,214.6
260105 BCE,208.9
259344 BCE,205.7
258944 BCE,209.6
257447 BCE,203.9
255958 BCE,204
255111 BCE,201.9
254349 BCE,199
252637 BCE,195.4
251807 BCE,196.7
251004 BCE,195.4
250182 BCE,213.9
249441 BCE,200.2
247150 BCE,214.7
244920 BCE,219.4
244239 BCE,230.4
243614 BCE,236.7
243107 BCE,249.9
242632 BCE,252.3
242172 BCE,263.7
241189 BCE,280.2
240735 BCE,279
239905 BCE,263.2
239383 BCE,259.7
238240 BCE,252.8
237789 BCE,247.4
237437 BCE,245.8
237058 BCE,245.6
236475 BCE,239.1
235956 BCE,243.1
235442 BCE,247.4
234901 BCE,241.4
234476 BCE,252.1
234041 BCE,245.2
230906 BCE,241.6
230242 BCE,233.9
229180 BCE,232.4
227622 BCE,224.5
226817 BCE,233.1
226489 BCE,234.5
225770 BCE,235.5
224900 BCE,215.7
224310 BCE,203.3
222322 BCE,205.6
221179 BCE,208.8
220590 BCE,207.1
219747 BCE,216.1
218986 BCE,214.1
217118 BCE,240.5
216251 BCE,245.3
215745 BCE,251.1
215466 BCE,251.7
214915 BCE,247.5
214356 BCE,242.6
213962 BCE,240.3
213131 BCE,241.4
212209 BCE,251.2
211380 BCE,243.4
210583 BCE,257.4
210129 BCE,239.5
209628 BCE,246.9
209108 BCE,252
208882 BCE,247.2
208225 BCE,243.9
208016 BCE,244.6
207495 BCE,242.2
207132 BCE,240.5
206872 BCE,230
206325 BCE,237.2
206159 BCE,238.1
205673 BCE,231.4
205290 BCE,229.4
204947 BCE,226.3
204410 BCE,228.6
203995 BCE,232.2
203626 BCE,231.9
203253 BCE,244.4
201892 BCE,247.6
200795 BCE,239.1
199802 BCE,250.9
196988 BCE,242.6
196377 BCE,241.2
195637 BCE,226.4
193850 BCE,220
193177 BCE,226.5
191125 BCE,218
190014 BCE,220.3
189305 BCE,231.4
187857 BCE,231.3
186487 BCE,210.7
184461 BCE,203.4
182421 BCE,199.7
181308 BCE,198.1
180246 BCE,217.7
179352 BCE,213.2
177923 BCE,207.7
175780 BCE,190.1
175584 BCE,189.4
174903 BCE,190.3
173883 BCE,196
172492 BCE,197.7
169989 BCE,197.8
167564 BCE,196.6
166796 BCE,183.8
165964 BCE,186.7
164834 BCE,190.1
164193 BCE,191.6
162385 BCE,196.5
161908 BCE,204.3
158205 BCE,187.5
157766 BCE,185.5
156716 BCE,189
154357 BCE,189.38
152939 BCE,196.3
151825 BCE,198.78
149495 BCE,202.35
148645 BCE,202.51
147516 BCE,201.78
146283 BCE,195.81
144158 BCE,193.59
142850 BCE,196.02
141701 BCE,194.59
140411 BCE,196.51
138000 BCE,192.75
136884 BCE,198.55
135813 BCE,199.18
134616 BCE,203.74
132572 BCE,212.43
131826 BCE,222.74
130982 BCE,224.63
130760 BCE,228
130026 BCE,232.28
129372 BCE,241.13
128868 BCE,250.84
128423 BCE,251.84
127706 BCE,260.61
127128 BCE,268.44
126928 BCE,271.08
126517 BCE,285.76
126223 BCE,280.72
126074 BCE,276.03
125554 BCE,276.88
125364 BCE,275.78
125012 BCE,274.93
124750 BCE,273.02
124064 BCE,275.15
123343 BCE,276.81
122867 BCE,275.52
122455 BCE,281.54
122009 BCE,275.87
121681 BCE,274.6
121064 BCE,279.16
120342 BCE,279
120150 BCE,278.25
119892 BCE,276.61
119476 BCE,279.48
118593 BCE,276.82
118194 BCE,268.73
117766 BCE,274.59
117293 BCE,267.74
116708 BCE,277.72
115669 BCE,274.98
115236 BCE,274.03
114526 BCE,273.63
113959 BCE,273.16
113497 BCE,276.96
112865 BCE,275.07
112300 BCE,267.9
111729 BCE,260.58
111169 BCE,264.75
110992 BCE,263.12
110686 BCE,256.79
109927 BCE,257.93
108605 BCE,246.69
107890 BCE,244.13
107179 BCE,244.44
106452 BCE,236.43
105025 BCE,240.34
104418 BCE,244.83
104306 BCE,241.4
104040 BCE,257.58
103557 BCE,248.78
103016 BCE,242.36
102381 BCE,238.88
102324 BCE,247.76
101359 BCE,240.68
100815 BCE,237.07
100022 BCE,240.07
99376 BCE,244.76
98593 BCE,247.87
98127 BCE,245.63
97411 BCE,242.99
96634 BCE,243.18
95977 BCE,239.86
95321 BCE,242.35
94525 BCE,245.76
93971 BCE,246.2
93284 BCE,242.91
92619 BCE,242.41
91873 BCE,238.21
91475 BCE,235.16
90718 BCE,232.46
90000 BCE,233.74
89495 BCE,231.12
88884 BCE,231.56
88367 BCE,229.74
87746 BCE,228.88
87295 BCE,227.38
86751 BCE,223.99
